
time 00h 52m 43s, episodes 1233, frames 0.440M, mean epr 1.971
time 00h 52m 53s, episodes 1234, frames 0.442M, mean epr 1.981
time 00h 53m 04s, episodes 1234, frames 0.443M, mean epr 1.981
time 00h 53m 14s, episodes 1234, frames 0.445M, mean epr 1.981
time 00h 53m 24s, episodes 1234, frames 0.446M, mean epr 1.981
time 00h 53m 34s, episodes 1234, frames 0.448M, mean epr 1.981
time 00h 53m 45s, episodes 1234, frames 0.449M, mean epr 1.981
time 00h 53m 55s, episodes 1235, frames 0.451M, mean epr 1.961
time 00h 54m 05s, episodes 1235, frames 0.452M, mean epr 1.961
time 00h 54m 15s, episodes 1237, frames 0.453M, mean epr 2.012
time 00h 54m 25s, episodes 1238, frames 0.455M, mean epr 2.021
time 00h 54m 35s, episodes 1238, frames 0.456M, mean epr 2.021
time 00h 54m 46s, episodes 1238, frames 0.458M, mean epr 2.021
time 00h 54m 56s, episodes 1239, frames 0.459M, mean epr 2.031
time 00h 55m 06s, episodes 1241, frames 0.461M, mean epr 2.051
time 00h 55m 16s, episodes 1242, frames 0.462M, mean epr 2.030
time 00h 55m 26s, episodes 1242, frames 0.463M, mean epr 2.030
time 00h 55m 36s, episodes 1243, frames 0.465M, mean epr 2.040
time 00h 55m 46s, episodes 1243, frames 0.466M, mean epr 2.040
time 00h 55m 56s, episodes 1243, frames 0.468M, mean epr 2.040
time 00h 56m 06s, episodes 1243, frames 0.469M, mean epr 2.040
time 00h 56m 16s, episodes 1243, frames 0.471M, mean epr 2.040
time 00h 56m 26s, episodes 1243, frames 0.472M, mean epr 2.040
time 00h 56m 36s, episodes 1243, frames 0.473M, mean epr 2.040
time 00h 56m 46s, episodes 1243, frames 0.475M, mean epr 2.040
time 00h 56m 57s, episodes 1243, frames 0.476M, mean epr 2.040
time 00h 57m 07s, episodes 1244, frames 0.478M, mean epr 2.039
time 00h 57m 17s, episodes 1245, frames 0.479M, mean epr 2.019
time 00h 57m 27s, episodes 1245, frames 0.481M, mean epr 2.019
time 00h 57m 37s, episodes 1245, frames 0.482M, mean epr 2.019
time 00h 57m 47s, episodes 1246, frames 0.483M, mean epr 2.019
time 00h 57m 57s, episodes 1246, frames 0.485M, mean epr 2.019
time 00h 58m 07s, episodes 1247, frames 0.486M, mean epr 2.019
time 00h 58m 18s, episodes 1247, frames 0.488M, mean epr 2.019
time 00h 58m 28s, episodes 1247, frames 0.489M, mean epr 2.019
time 00h 58m 38s, episodes 1248, frames 0.491M, mean epr 2.038
time 00h 58m 49s, episodes 1248, frames 0.492M, mean epr 2.038
time 00h 58m 59s, episodes 1248, frames 0.494M, mean epr 2.038
time 00h 59m 09s, episodes 1248, frames 0.495M, mean epr 2.038
time 00h 59m 19s, episodes 1248, frames 0.497M, mean epr 2.038
time 00h 59m 29s, episodes 1249, frames 0.498M, mean epr 2.018
time 00h 59m 40s, episodes 1249, frames 0.499M, mean epr 2.018
time 00h 59m 50s, episodes 1249, frames 0.501M, mean epr 2.018
time 01h 00m 00s, episodes 1249, frames 0.502M, mean epr 2.018
time 01h 00m 10s, episodes 1249, frames 0.504M, mean epr 2.018
time 01h 00m 20s, episodes 1249, frames 0.505M, mean epr 2.018
time 01h 00m 30s, episodes 1249, frames 0.507M, mean epr 2.018
time 01h 00m 40s, episodes 1249, frames 0.508M, mean epr 2.018
time 01h 00m 51s, episodes 1249, frames 0.509M, mean epr 2.018
time 01h 01m 01s, episodes 1249, frames 0.511M, mean epr 2.018
time 01h 01m 11s, episodes 1250, frames 0.512M, mean epr 2.028
time 01h 01m 21s, episodes 1251, frames 0.514M, mean epr 2.028
time 01h 01m 31s, episodes 1255, frames 0.515M, mean epr 1.997
time 01h 01m 41s, episodes 1258, frames 0.516M, mean epr 1.997
time 01h 01m 51s, episodes 1261, frames 0.518M, mean epr 2.037
time 01h 02m 01s, episodes 1268, frames 0.519M, mean epr 2.035
time 01h 02m 12s, episodes 1270, frames 0.521M, mean epr 1.995
time 01h 02m 22s, episodes 1273, frames 0.522M, mean epr 1.955
time 01h 02m 32s, episodes 1280, frames 0.524M, mean epr 1.997
time 01h 02m 42s, episodes 1281, frames 0.525M, mean epr 2.007
time 01h 02m 52s, episodes 1285, frames 0.526M, mean epr 2.017
time 01h 03m 03s, episodes 1286, frames 0.528M, mean epr 2.037
time 01h 03m 13s, episodes 1287, frames 0.529M, mean epr 2.046
time 01h 03m 23s, episodes 1287, frames 0.531M, mean epr 2.046
time 01h 03m 34s, episodes 1287, frames 0.532M, mean epr 2.046
time 01h 03m 44s, episodes 1287, frames 0.534M, mean epr 2.046
time 01h 03m 54s, episodes 1287, frames 0.535M, mean epr 2.046
time 01h 04m 04s, episodes 1288, frames 0.537M, mean epr 2.046
time 01h 04m 14s, episodes 1288, frames 0.538M, mean epr 2.046
time 01h 04m 24s, episodes 1289, frames 0.540M, mean epr 2.025
time 01h 04m 34s, episodes 1289, frames 0.541M, mean epr 2.025
time 01h 04m 44s, episodes 1289, frames 0.542M, mean epr 2.025
time 01h 04m 55s, episodes 1290, frames 0.544M, mean epr 2.005
time 01h 05m 05s, episodes 1290, frames 0.545M, mean epr 2.005
time 01h 05m 15s, episodes 1292, frames 0.547M, mean epr 1.985
time 01h 05m 25s, episodes 1292, frames 0.548M, mean epr 1.985
time 01h 05m 35s, episodes 1292, frames 0.549M, mean epr 1.985
time 01h 05m 46s, episodes 1292, frames 0.551M, mean epr 1.985
